time,temp,dwpt,rhum,prcp,wdir,wspd,pres,coco,location
2023-01-01 00:00:00,9.9,9.9,100.0,1.0,220.0,7.6,1010.0,5.0,Lower Manhattan
2023-01-01 01:00:00,10.0,10.0,100.0,0.5,220.0,5.4,1010.0,9.0,Lower Manhattan
2023-01-01 02:00:00,10.5,10.5,100.0,1.0,210.0,7.6,1009.0,8.0,Lower Manhattan
2023-01-01 03:00:00,10.6,10.4,99.0,2.2,190.0,9.4,1009.0,5.0,Lower Manhattan
2023-01-01 04:00:00,10.3,10.1,99.0,0.7,260.0,11.2,1009.0,5.0,Lower Manhattan
2023-01-01 05:00:00,9.9,9.7,99.0,0.5,260.0,11.2,1007.0,5.0,Lower Manhattan
2023-01-01 06:00:00,9.6,9.5,99.0,0.0,260.0,11.2,1008.0,5.0,Lower Manhattan
2023-01-01 07:00:00,9.7,9.6,99.0,0.0,220.0,11.2,1008.0,5.0,Lower Manhattan
2023-01-01 08:00:00,9.9,9.3,96.0,0.0,210.0,11.2,1009.0,5.0,Lower Manhattan
2023-01-01 09:00:00,9.3,8.7,96.0,0.0,200.0,13.0,1009.0,5.0,Lower Manhattan
2023-01-01 10:00:00,8.5,7.7,95.0,0.0,240.0,9.4,1010.0,5.0,Lower Manhattan
2023-01-01 11:00:00,7.9,6.8,93.0,0.0,240.0,9.4,1011.0,3.0,Lower Manhattan
2023-01-01 12:00:00,7.8,6.6,92.0,0.0,270.0,11.2,1012.0,3.0,Lower Manhattan
2023-01-01 13:00:00,7.0,5.9,93.0,0.0,210.0,9.4,1013.0,3.0,Lower Manhattan
2023-01-01 14:00:00,7.8,6.1,89.0,0.0,210.0,9.4,1014.0,2.0,Lower Manhattan
2023-01-01 15:00:00,8.6,5.3,80.0,0.0,240.0,5.4,1015.0,3.0,Lower Manhattan
2023-01-01 16:00:00,9.1,4.7,74.0,0.0,260.0,11.2,1014.0,3.0,Lower Manhattan
2023-01-01 17:00:00,9.7,4.1,68.0,0.0,260.0,11.2,1014.0,3.0,Lower Manhattan
2023-01-01 18:00:00,10.5,3.5,62.0,0.0,298.0,11.2,1014.0,1.0,Lower Manhattan
2023-01-01 19:00:00,10.6,2.7,58.0,0.0,300.0,5.4,1014.0,1.0,Lower Manhattan
2023-01-01 20:00:00,10.4,2.2,57.0,0.0,299.0,7.6,1015.0,1.0,Lower Manhattan
2023-01-01 21:00:00,9.5,2.6,62.0,0.2,301.0,7.6,1015.0,1.0,Lower Manhattan
2023-01-01 22:00:00,6.7,2.4,74.0,0.0,240.0,7.6,1015.0,3.0,Lower Manhattan
2023-01-01 23:00:00,5.5,2.1,79.0,0.0,240.0,7.6,1017.0,1.0,Lower Manhattan
2023-01-02 00:00:00,5.2,2.9,85.0,0.0,190.0,11.2,1017.0,1.0,Lower Manhattan
2023-01-02 01:00:00,5.6,3.1,84.0,0.0,220.0,7.6,1018.0,1.0,Lower Manhattan
2023-01-02 02:00:00,5.2,2.7,84.0,0.0,220.0,7.6,1018.0,1.0,Lower Manhattan
2023-01-02 03:00:00,4.6,2.3,85.0,0.0,250.0,11.2,1018.0,2.0,Lower Manhattan
2023-01-02 04:00:00,4.7,2.9,88.0,0.0,250.0,11.2,1018.0,3.0,Lower Manhattan
2023-01-02 05:00:00,5.3,3.1,86.0,0.0,190.0,9.4,1017.0,3.0,Lower Manhattan
2023-01-02 06:00:00,4.7,3.2,90.0,0.0,190.0,11.2,1018.0,3.0,Lower Manhattan
2023-01-02 07:00:00,4.5,3.2,91.0,0.0,210.0,9.4,1019.0,3.0,Lower Manhattan
2023-01-02 08:00:00,4.2,2.9,91.0,0.0,180.0,9.4,1019.0,3.0,Lower Manhattan
2023-01-02 09:00:00,4.5,3.3,92.0,0.0,180.0,9.4,1019.0,3.0,Lower Manhattan
2023-01-02 10:00:00,4.5,3.3,92.0,0.0,210.0,9.4,1019.0,2.0,Lower Manhattan
2023-01-02 11:00:00,4.6,3.4,92.0,0.0,210.0,5.4,1020.0,3.0,Lower Manhattan
2023-01-02 12:00:00,4.7,3.5,92.0,0.0,190.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-02 13:00:00,4.8,3.6,92.0,0.0,190.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-02 14:00:00,6.7,4.2,84.0,0.0,180.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-02 15:00:00,8.3,4.9,79.0,0.0,253.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-02 16:00:00,9.8,5.0,72.0,0.0,256.0,5.4,1020.0,3.0,Lower Manhattan
2023-01-02 17:00:00,10.4,5.2,70.0,0.0,229.0,5.4,1020.0,3.0,Lower Manhattan
2023-01-02 18:00:00,11.2,5.1,66.0,0.0,240.0,5.4,1020.0,3.0,Lower Manhattan
2023-01-02 19:00:00,12.3,6.6,68.0,0.0,202.0,5.4,1020.0,3.0,Lower Manhattan
2023-01-02 20:00:00,12.2,7.1,71.0,0.0,191.0,9.4,1020.0,3.0,Lower Manhattan
2023-01-02 21:00:00,10.3,7.0,80.0,0.0,172.0,5.4,1020.0,3.0,Lower Manhattan
2023-01-02 22:00:00,8.7,6.3,85.0,0.1,270.0,5.4,1021.0,7.0,Lower Manhattan
2023-01-02 23:00:00,8.1,6.4,89.0,0.0,270.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-03 00:00:00,8.0,6.6,91.0,0.0,270.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-03 01:00:00,6.6,6.0,96.0,0.0,270.0,7.6,1022.0,3.0,Lower Manhattan
2023-01-03 02:00:00,7.8,7.0,95.0,0.2,0.0,0.0,1021.0,7.0,Lower Manhattan
2023-01-03 03:00:00,8.3,7.4,94.0,0.2,0.0,0.0,1021.0,7.0,Lower Manhattan
2023-01-03 04:00:00,8.4,7.5,94.0,0.0,40.0,7.6,1021.0,3.0,Lower Manhattan
2023-01-03 05:00:00,8.0,7.4,96.0,0.0,50.0,9.4,1020.0,3.0,Lower Manhattan
2023-01-03 06:00:00,8.1,7.7,97.0,0.0,0.0,0.0,1020.0,3.0,Lower Manhattan
2023-01-03 07:00:00,8.2,7.8,97.0,0.0,30.0,9.4,1020.0,3.0,Lower Manhattan
2023-01-03 08:00:00,8.0,7.4,96.0,0.0,30.0,9.4,1020.0,3.0,Lower Manhattan
2023-01-03 09:00:00,7.9,7.0,94.0,0.0,0.0,0.0,1019.0,3.0,Lower Manhattan
2023-01-03 10:00:00,8.1,7.2,94.0,0.0,0.0,0.0,1019.0,3.0,Lower Manhattan
2023-01-03 11:00:00,7.9,7.3,96.0,0.3,60.0,5.4,1018.0,8.0,Lower Manhattan
2023-01-03 12:00:00,8.0,7.6,97.0,0.0,60.0,5.4,1018.0,3.0,Lower Manhattan
2023-01-03 13:00:00,8.0,7.7,98.0,0.0,40.0,9.4,1017.0,5.0,Lower Manhattan
2023-01-03 14:00:00,8.8,8.3,97.0,0.0,0.0,0.0,1016.0,5.0,Lower Manhattan
2023-01-03 15:00:00,9.5,8.9,96.0,0.7,0.0,0.0,1016.0,8.0,Lower Manhattan
2023-01-03 16:00:00,9.5,9.0,97.0,1.3,0.0,0.0,1015.0,9.0,Lower Manhattan
2023-01-03 17:00:00,10.1,9.6,97.0,1.7,0.0,0.0,1014.0,9.0,Lower Manhattan
